,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.374021759,,Intercept,312.6905758,313,0.309424177,313
1,1,grade:A,1.123667047,3.22E-35,grade,86.69335918,87,0.306640821,87
2,2,grade:B,0.878915346,4.28E-47,grade,67.81023261,68,0.189767389,68
3,3,grade:C,0.684793753,6.72E-34,grade,52.833329,53,0.166671001,53
4,4,grade:D,0.496922404,1.35E-20,grade,38.33864537,38,-0.33864537,38
5,5,grade:E,0.321490869,1.03E-11,grade,24.80372054,25,0.196279459,25
6,6,grade:F,0.13428367,0.00624192,grade,10.36027751,10,-0.360277505,10
7,7,home_ownership:OWN,0.093516696,3.46E-06,home_ownership,7.21501669,7,-0.21501669,7
8,8,home_ownership:MORTGAGE,0.106247651,4.42E-17,home_ownership,8.197237581,8,-0.197237581,8
9,9,addr_state:NM_VA,0.036017744,0.260863618,addr_state,2.778847363,3,0.221152637,3
10,10,addr_state:NY,0.055556491,0.021829954,addr_state,4.286304208,4,-0.286304208,4
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057995459,0.012259159,addr_state,4.474475971,4,-0.474475971,4
12,12,addr_state:CA,0.062149869,0.003375721,addr_state,4.794997745,5,0.205002255,5
13,13,addr_state:UT_KY_AZ_NJ,0.076458009,0.002149018,addr_state,5.898901865,6,0.101098135,6
14,14,addr_state:AR_MI_PA_OH_MN,0.133441081,3.15E-09,addr_state,10.29526991,10,-0.29526991,10
15,15,addr_state:RI_MA_DE_SD_IN,0.097894509,0.001033194,addr_state,7.552774535,8,0.447225465,8
16,16,addr_state:GA_WA_OR,0.183762012,5.57E-12,addr_state,14.17763936,14,-0.177639359,14
17,17,addr_state:WI_MT,0.23790289,5.63E-07,addr_state,18.35472597,18,-0.354725967,18
18,18,addr_state:TX,0.220958466,1.84E-17,addr_state,17.04742677,17,-0.047426766,17
19,19,addr_state:IL_CT,0.259899927,5.68E-19,addr_state,20.05184525,20,-0.051845254,20
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.318562181,5.12E-25,addr_state,24.57776587,25,0.422234131,25
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.521966102,1.07E-22,addr_state,40.27082121,40,-0.270821213,40
22,22,verification_status:Not Verified,0.085717406,4.38E-09,verification_status,6.613284479,7,0.386715521,7
23,23,verification_status:Source Verified,-0.011186201,0.404903979,verification_status,-0.863039776,-1,-0.136960224,-1
24,24,purpose:credit_card,0.30185942,1.25E-26,purpose,23.2891115,23,-0.289111497,23
25,25,purpose:debt_consolidation,0.198088173,2.50E-14,purpose,15.28293387,15,-0.282933869,15
26,26,purpose:oth__med__vacation,0.212823937,7.73E-12,purpose,16.41983008,16,-0.41983008,16
27,27,purpose:major_purch__car__home_impr,0.26626253,1.47E-17,purpose,20.54273395,21,0.457266051,21
28,28,initial_list_status:w,0.0538262,3.74E-05,initial_list_status,4.152808551,4,-0.152808551,4
29,29,term:36,0.078942248,1.63E-08,term,6.090566286,6,-0.090566286,6
30,30,emp_length:1,0.09915778,0.000131448,emp_length,7.650238628,8,0.349761372,8
31,31,emp_length:2-4,0.125853746,2.59E-11,emp_length,9.709890526,10,0.290109474,10
32,32,emp_length:5-6,0.091092778,2.08E-05,emp_length,7.028006174,7,-0.028006174,7
33,33,emp_length:7-9,0.061144184,0.003286398,emp_length,4.717406904,5,0.282593096,5
34,34,emp_length:10,0.125042779,1.18E-11,emp_length,9.647322627,10,0.352677373,10
35,35,mths_since_issue_d:<38,1.084211338,4.73E-181,mths_since_issue_d,83.64926532,84,0.350734677,84
36,36,mths_since_issue_d:38-39,0.879198562,1.03E-149,mths_since_issue_d,67.83208329,68,0.167916714,68
37,37,mths_since_issue_d:40-41,0.778257519,5.63E-124,mths_since_issue_d,60.0442621,60,-0.044262098,60
38,38,mths_since_issue_d:42-48,0.577168675,1.08E-87,mths_since_issue_d,44.52981994,45,0.470180057,45
39,39,mths_since_issue_d:49-52,0.415694336,8.24E-41,mths_since_issue_d,32.07172308,32,-0.071723082,32
40,40,mths_since_issue_d:53-64,0.169942068,5.94E-09,mths_since_issue_d,13.11140059,13,-0.111400591,13
41,41,mths_since_issue_d:65-84,-0.071782478,0.014079696,mths_since_issue_d,-5.538174452,-6,-0.461825548,-6
42,42,int_rate:<9.548,0.883137782,3.59E-31,int_rate,68.1360027,68,-0.136002703,68
43,43,int_rate:9.548-12.025,0.558667283,5.92E-36,int_rate,43.10239726,43,-0.102397264,43
44,44,int_rate:12.025-15.74,0.306132954,7.24E-17,int_rate,23.61882393,24,0.381176067,24
45,45,int_rate:15.74-20.281,0.113172231,9.36E-05,int_rate,8.73148405,9,0.26851595,9
46,46,mths_since_earliest_cr_line:141-164,0.055771815,0.024978327,mths_since_earliest_cr_line,4.30291693,4,-0.30291693,4
47,47,mths_since_earliest_cr_line:165-247,0.03716366,0.064235853,mths_since_earliest_cr_line,2.867257269,3,0.132742731,3
48,48,mths_since_earliest_cr_line:248-270,0.079481301,0.002453346,mths_since_earliest_cr_line,6.132155413,6,-0.132155413,6
49,49,mths_since_earliest_cr_line:271-352,0.122043102,1.89E-07,mths_since_earliest_cr_line,9.415891022,9,-0.415891022,9
50,50,mths_since_earliest_cr_line:>352,0.129361192,1.07E-06,mths_since_earliest_cr_line,9.980497605,10,0.019502395,10
51,51,inq_last_6mths:0,0.666257298,3.53E-14,inq_last_6mths,51.40320116,51,-0.40320116,51
52,52,inq_last_6mths:1-2,0.519751905,3.25E-09,inq_last_6mths,40.0999911,40,-0.099991095,40
53,53,inq_last_6mths:3-6,0.309533024,0.000460926,inq_last_6mths,23.88114678,24,0.118853223,24
54,54,acc_now_delinq:>=1,0.18036771,0.088674644,acc_now_delinq,13.9157615,14,0.084238498,14
55,55,annual_inc:20K-30K,-0.081518913,0.053000672,annual_inc,-6.289361595,-6,0.289361595,-6
56,56,annual_inc:30K-40K,-0.018922546,0.640205888,annual_inc,-1.459915642,-1,0.459915642,-1
57,57,annual_inc:40K-50K,0.075680503,0.061210358,annual_inc,5.838915617,6,0.161084383,6
58,58,annual_inc:50K-60K,0.14254796,0.00049942,annual_inc,10.99788547,11,0.002114535,11
59,59,annual_inc:60K-70K,0.218096816,1.91E-07,annual_inc,16.82664419,17,0.173355811,17
60,60,annual_inc:70K-80K,0.291546786,8.74E-12,annual_inc,22.49346935,22,-0.493469349,22
61,61,annual_inc:80K-90K,0.36739337,1.46E-16,annual_inc,28.34519842,28,-0.345198423,28
62,62,annual_inc:90K-100K,0.387197957,4.21E-17,annual_inc,29.87316544,30,0.126834564,30
63,63,annual_inc:100K-120K,0.46510163,2.32E-24,annual_inc,35.88360338,36,0.116396616,36
64,64,annual_inc:120K-140K,0.552378839,1.86E-26,annual_inc,42.61723008,43,0.382769922,43
65,65,annual_inc:>140K,0.491544898,4.99E-25,annual_inc,37.92375911,38,0.076240889,38
66,66,dti:<=1.4,0.252458651,0.002457692,dti,19.47773459,19,-0.477734593,19
67,67,dti:1.4-3.5,0.371539299,1.10E-07,dti,28.66506584,29,0.334934161,29
68,68,dti:3.5-7.7,0.384447936,1.76E-10,dti,29.6609953,30,0.339004699,30
69,69,dti:7.7-10.5,0.319714298,9.33E-08,dti,24.66665424,25,0.333345765,25
70,70,dti:10.5-16.1,0.241143402,3.08E-05,dti,18.6047385,19,0.395261503,19
71,71,dti:16.1-20.3,0.139838744,0.015816343,dti,10.78886353,11,0.211136469,11
72,72,dti:20.3-21.7,0.12745712,0.035619278,dti,9.833594354,10,0.166405646,10
73,73,dti:21.7-22.4,0.092030548,0.155118881,dti,7.100357154,7,-0.100357154,7
74,74,dti:22.4-35,0.050265786,0.380127518,dti,3.878114799,4,0.121885201,4
75,75,mths_since_last_delinq:Missing,0.110412933,0.034595163,mths_since_last_delinq,8.518598153,9,0.481401847,9
76,76,mths_since_last_delinq:4-30,0.136950878,0.009475183,mths_since_last_delinq,10.56605845,11,0.433941547,11
77,77,mths_since_last_delinq:31-56,0.183090399,0.000615603,mths_since_last_delinq,14.12582293,14,-0.125822929,16
78,78,mths_since_last_delinq:>=57,0.136100333,0.012900727,mths_since_last_delinq,10.500437,11,0.499562996,11
79,79,mths_since_last_record:Missing,0.320870752,7.95E-05,mths_since_last_record,24.75587711,25,0.244122888,25
80,80,mths_since_last_record:3-20,0.440623988,0.000334722,mths_since_last_record,33.99510002,34,0.004899982,34
81,81,mths_since_last_record:21-31,0.35070618,0.001832662,mths_since_last_record,27.0577454,27,-0.057745404,27
82,82,mths_since_last_record:32-80,0.502948454,3.97E-09,mths_since_last_record,38.80356826,39,0.196431738,39
83,83,mths_since_last_record:81-86,0.175838008,0.086048492,mths_since_last_record,13.56628519,14,0.433714808,14
84,84,mths_since_last_record:>86,0.232699827,0.005711904,mths_since_last_record,17.95329833,18,0.046701671,18
85,0,grade:G,0,,grade,0,0,0,0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0,,home_ownership,0,0,0,0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0,,addr_state,0,0,0,0
88,3,verification_status:Verified,0,,verification_status,0,0,0,0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0,,purpose,0,0,0,0
90,5,initial_list_status:f,0,,initial_list_status,0,0,0,0
91,6,term:60,0,,term,0,0,0,0
92,7,emp_length:0,0,,emp_length,0,0,0,0
93,8,mths_since_issue_d:>84,0,,mths_since_issue_d,0,0,0,0
94,9,int_rate:>20.281,0,,int_rate,0,0,0,0
95,10,mths_since_earliest_cr_line:<140,0,,mths_since_earliest_cr_line,0,0,0,0
96,11,inq_last_6mths:>6,0,,inq_last_6mths,0,0,0,0
97,12,acc_now_delinq:0,0,,acc_now_delinq,0,0,0,0
98,13,annual_inc:<20K,0,,annual_inc,0,0,0,0
99,14,dti:>35,0,,dti,0,0,0,0
100,15,mths_since_last_delinq:0-3,0,,mths_since_last_delinq,0,0,0,0
101,16,mths_since_last_record:0-2,0,,mths_since_last_record,0,0,0,0
